AUTHORS,PUPLICATION TITLE,CONFERENCE / JOURNAL,YEAR,URL HAL
"Peng, X., Haldar, D., Mackay, W. E. & Koch, J.","DesignTrace: Exploring, Iterating and Tracking Design Alternatives with GenAI",CHI,2026,
"Peng, X., Koch, J. & Mackay, W. E.",FusAIn: Composing Generative AI Visual Prompts Using Pen-based Interaction,CHI,2025,https://hal.science/hal-05065936v1
"Chaaben, B., E., Koch, J. & Mackay, W. E.","""Should I choose a smaller model?': Understanding ML Model Selection and Its Impact on Sustainability",CHI,2025,
"Koch, J., Schmidt, A. & Mackay, W.E.",The Role of Design in the Future of Human-AI Interaction,AAR Adjunct,2025,
"Mohammadzadeh, B., Françoise, J., Gouiffès, M., & Caramiaux, B.",Sensemaking in User-Driven Algorithm Auditing: A Case Study on Gender Bias in an Image Captioning Model,CHI,2026,https://hal.science/hal-05534067v1/
"Sanchez, T., Kalamara, F. M., Stumpf, S., & Caramiaux, B.",Exploring people’s testing strategies in ML-based image classification.,AlpCHI,2026,https://hal.science/hal-05544228v1
"Sanchez, T., Dzhimova, M., Hsueh, S., Fdili Alaoui, S., Sungeelee, V., & Caramiaux, B.","Artists on a Decade of AI Evolution: An Interview Study of Affordances, Culture, and Artistic Practice with Machine Learning",CHI,2026,https://hal.science/hal-05544223v1
"Peng, X., Koch, J. & Mackay, W. E.","DesignPrompt: Using Multimodal Interaction for Design Exploration with Generative AI
",DIS,2025,https://hal.science/hal-04652020
"Hergal, Y., Makrygiannis, D., Senteri, G., Glushkova, A. & Manitsaris, S.",PosePilot-GOM: A Web-based application for dexterity analysis of human movement,MOCO,2026,
"Muralidhar, D., Belloum, R., & Ashok, A.",Operationalizing selective transparency using progressive disclosure in artificial intelligence clinical diagnosis systems,IJHCS,2025,https://hal.science/hal-05331557v1/file/OperationalizingSelectiveTransparency.pdf
